algoritmo,numero_de_articulos,valor_optimo,segundos
busqueda_con_poda,5,8,0.00012803077697753906
algoritmo_voraz,5,8,1.9788742065429688e-05
busqueda_con_poda,6,26,0.00013518333435058594
algoritmo_voraz,6,26,2.2172927856445312e-05
busqueda_con_poda,7,32,0.00012993812561035156
algoritmo_voraz,7,32,2.47955322265625e-05
busqueda_con_poda,8,34,0.0002079010009765625
algoritmo_voraz,8,34,2.8848648071289062e-05
busqueda_con_poda,9,30,0.00010514259338378906
algoritmo_voraz,9,30,3.1948089599609375e-05
busqueda_con_poda,10,27,0.0005819797515869141
algoritmo_voraz,10,27,3.814697265625e-05
busqueda_con_poda,11,38,0.0013360977172851562
algoritmo_voraz,11,38,3.790855407714844e-05
busqueda_con_poda,12,45,0.00115203857421875
algoritmo_voraz,12,44,4.100799560546875e-05
busqueda_con_poda,13,53,0.0008108615875244141
algoritmo_voraz,13,49,4.38690185546875e-05
busqueda_con_poda,14,49,0.001051187515258789
algoritmo_voraz,14,41,4.792213439941406e-05
busqueda_con_poda,15,66,0.0014030933380126953
algoritmo_voraz,15,66,5.412101745605469e-05
busqueda_con_poda,16,68,0.014326095581054688
algoritmo_voraz,16,58,6.079673767089844e-05
busqueda_con_poda,17,53,0.0005249977111816406
algoritmo_voraz,17,49,6.29425048828125e-05
